iter	Passed	Remaining
885	33682	80365
886	33720	80328
887	33756	80286
888	33793	80245
889	33828	80200
890	33864	80157
891	33902	80120
892	33941	80083
893	33980	80048
894	34016	80004
895	34049	79955
896	34084	79910
897	34119	79864
898	34153	79818
899	34194	79787
900	34230	79743
901	34266	79702
902	34306	79669
903	34343	79629
904	34383	79594
905	34420	79554
906	34459	79517
907	34494	79474
908	34531	79434
909	34568	79393
910	34604	79352
911	34640	79308
912	34677	79267
913	34711	79222
914	34751	79187
915	34789	79150
916	34827	79111
917	34865	79074
918	34898	79025
919	34933	78980
920	34969	78938
921	35010	78907
922	35051	78875
923	35089	78838
924	35126	78797
925	35166	78763
926	35200	78716
927	35241	78684
928	35276	78640
929	35314	78603
930	35354	78569
931	35390	78526
932	35429	78491
933	35464	78447
934	35504	78413
935	35541	78372
936	35577	78330
937	35616	78294
938	35655	78258
939	35691	78216
940	35728	78178
941	35767	78142
942	35806	78106
943	35843	78066
944	35878	78020
945	35914	77978
946	35949	77933
947	35987	77897
948	36021	77851
949	36054	77801
950	36090	77760
951	36128	77721
952	36163	77678
953	36202	77642
954	36239	77601
955	36273	77556
956	36310	77516
957	36345	77471
958	36384	77434
959	36425	77403
960	36461	77361
961	36500	77326
962	36534	77280
963	36567	77231
964	36608	77199
965	36644	77159
966	36679	77114
967	36717	77077
968	36753	77033
969	36790	76994
970	36824	76948
971	36861	76907
972	36894	76861
973	36928	76815
974	36965	76775
975	37003	76737
976	37039	76694
977	37077	76656
978	37112	76613
979	37151	76577
980	37187	76535
981	37225	76497
982	37262	76457
983	37298	76416
984	37333	76373
985	37373	76338
986	37406	76290
987	37445	76256
988	37492	76235
989	37528	76193
990	37573	76170
991	37608	76126
992	37646	76089
993	37682	76048
994	37719	76007
995	37758	75971
996	37790	75922
997	37830	75887
998	37868	75851
999	37902	75805
1000	37938	75762
1001	37978	75729
1002	38015	75689
1003	38052	75649
1004	38090	75612
1005	38127	75573
1006	38162	75529
1007	38204	75500
1008	38251	75479
1009	38291	75446
1010	38337	75423
1011	38378	75392
1012	38421	75363
1013	38467	75341
1014	38513	75318
1015	38551	75282
1016	38588	75242
1017	38629	75210
1018	38668	75174
1019	38709	75141
1020	38745	75099
1021	38778	75052
1022	38815	75012
1023	38854	74977
1024	38892	74938
1025	38929	74900
1026	38966	74859
1027	39003	74820
1028	39039	74778
1029	39079	74744
1030	39116	74705
1031	39151	74661
1032	39192	74628
1033	39228	74587
1034	39265	74547
1035	39306	74515
1036	39356	74501
1037	39395	74463
1038	39450	74459
1039	39499	74441
1040	39539	74406
1041	39587	74388
1042	39626	74352
1043	39664	74313
1044	39698	74268
